nSeq,frontal,smoothed_values,Wavetype
621,30044,32306.38622203287,0
622,26588,32238.289947529895,0
623,26781,32159.15660719896,0
624,28309,32096.891846506027,0
625,28885,32072.722215645997,0
626,28804,32094.389598116024,0
627,29516,32127.645239847312,0
628,32066,32181.694563342957,0
629,35720,32333.461547179362,0
630,36292,32558.40959425319,0
631,34287,32722.033491476366,0
632,32808,32750.001339715403,0
633,32872,32639.52564266691,0
634,33484,32430.246623481038,0
635,34277,32225.85204056365,0
636,34528,32115.507308930377,0
637,34248,32097.30721355265,0
638,34180,32161.597090891148,0
639,33748,32297.980402248973,0
640,31036,32461.722524510078,0
641,27341,32593.980861219898,0
642,26552,32644.571040990977,0
643,28952,32639.701143796337,0
644,31860,32609.817671214063,0
645,31952,32550.604451400017,0
646,30468,32529.331098654122,0
647,30648,32667.438661009986,0
648,32696,32952.47607479163,0
649,35364,33288.74203431948,0
650,37001,33614.64606873887,0
651,37696,33935.657609861526,0
652,37956,34238.56094672567,0
653,37680,34520.86277617622,0
654,37260,34697.40876196548,0
655,35724,34719.31739869365,0
656,34496,34639.94760137321,0
657,34776,34502.06611647337,0
658,34072,34282.2055540897,0
659,31684,33994.745893746614,0
660,30580,33668.512703331966,0
661,30216,33291.8219862448,0
662,30624,32884.24234154279,0
663,30784,32451.518486246696,0
664,31376,32004.10482467301,0
665,31820,31569.099241855885,0
666,31473,31210.46629202941,0
667,31296,30953.17883245152,0
668,31440,30751.15997654961,0
669,31568,30621.134141241084,0
670,31788,30576.7902476656,0
671,32840,30586.388109527063,0
672,33668,30579.378331942396,0
673,33704,30510.95144938802,0
674,33156,30430.31428417568,0
675,32181,30354.753930892926,0
676,31680,30279.088121678746,0
677,31872,30214.607124721362,0
678,31266,30145.17175733027,0
679,28200,30079.685122424784,0
680,24964,30076.858255300092,0
681,25017,30150.9176671378,0
682,25024,30263.771664132502,0
683,25682,30399.81103983276,0
684,28961,30555.94393624329,0
685,33080,30747.70839354399,0
686,33966,30988.87514996372,0
687,32584,31294.997087897984,0
688,30621,31657.548556887647,0
689,28120,32060.115513875226,0
690,25489,32453.805748904557,0
691,25172,32795.7710151007,0
692,28636,33059.02911148096,0
693,33520,33297.153509637195,0
694,37664,33583.02248076344,0
695,41064,33956.96832785689,0
696,43492,34344.06098451898,0
697,41228,34665.755489980256,0
698,38092,34925.88328525857,0
699,37224,35146.92484364211,0
700,38960,35330.93418545132,0
701,40349,35499.34417726605,0
702,40432,35724.41037564975,0
703,37981,36001.732317640955,0
704,35636,36243.94490956331,0
705,34776,36412.28969648433,0
706,33624,36492.421992583055,0
707,31964,36527.80627863754,0
708,32332,36607.83326519077,0
709,33081,36741.88147588326,0
710,32696,36889.38014126402,0
711,32256,37024.454510997384,0
712,32176,37087.69429823485,0
713,32524,37040.70466581255,0
714,34168,36894.42331315802,0
715,37044,36674.84177127349,0
716,39576,36433.38232918803,0
717,39856,36183.13659259648,0
718,39024,35904.53844047478,0
719,37569,35623.15786689392,0
720,36616,35343.86789604285,0
721,36080,35086.705402887885,0
722,36016,34873.41443004222,0
723,35604,34657.54762570455,0
724,35284,34421.34351549641,0
725,35628,34179.850458747445,0
726,35573,33976.40771554597,0
727,33668,33833.56438877476,0
728,32446,33714.93084636798,0
729,33384,33606.56000904016,0
730,35188,33439.66795387537,0
731,35072,33129.620537291936,0
732,33676,32736.858384732826,0
733,32124,32283.98506717603,0
734,31620,31839.851022286708,0
735,31185,31512.445793247993,0
736,30832,31381.652425597673,0
737,29533,31389.879236925994,0
738,27908,31446.244443497864,0
739,27241,31492.92825568986,0
740,29344,31430.511071274574,0
741,31788,31252.707437733134,0
742,33549,31037.900958903832,0
743,34241,30827.98045278092,0
744,34136,30632.060709025747,0
745,32652,30478.74473434582,0
746,31148,30455.8643713644,0
747,30172,30593.343408071523,0
748,29364,30801.496093913676,0
749,29286,31065.586974242327,0
750,31132,31343.56709350452,0
751,32824,31674.249366928332,0
752,30664,32058.45799756525,0
753,27332,32478.398306815056,0
754,27192,32891.22397420711,0
755,29872,33276.66778515263,0
756,33688,33646.76188852626,0
757,36836,33968.70817850316,0
758,37793,34207.59478610339,0
759,36764,34375.7388539882,0
760,33738,34467.808735247745,0
761,30529,34478.0627908041,0
762,29388,34435.837924413565,0
763,31176,34353.69335331159,0
764,33527,34251.61419156971,0
765,36569,34159.932327170674,0
766,38244,34137.3144099554,0
767,38632,34218.99414782974,0
768,39908,34327.904980086634,0
769,40264,34397.70827099542,0
770,40076,34390.843387267945,0
771,38421,34242.19989695638,0
772,35924,34002.971215388236,0
773,35572,33772.88825928449,0
774,36288,33573.0578638464,0
775,36608,33434.646753521396,0
776,34338,33365.28371889264,0
777,30400,33323.57098189402,0
778,28420,33233.59175623558,0
779,26632,33114.6431103076,0
780,25138,33094.78373507968,0
781,26800,33218.99860723315,0
782,29780,33416.445189765625,0
783,33180,33611.40058114322,0
784,34896,33767.72193362429,0
785,34872,33904.87323773805,0
786,32840,34015.01428632435,0
787,30300,34083.44497009796,0
788,28785,34094.56607160215,0
789,28220,34041.711622024835,0
790,31060,33956.02084133599,0
791,33325,33894.424734363085,0
792,32560,33862.55294071444,0
793,32816,33868.2701914331,0
794,35761,33873.68791224418,0
795,39660,33828.76539562599,0
796,41184,33672.764249068365,0
797,41748,33452.023118926394,0
798,41452,33235.1530040829,0
799,38316,33034.76832090483,0
800,36908,32884.983043384644,0
801,35920,32842.87848160964,0
802,35272,32904.93859256449,0
803,34876,32998.05090395857,0
804,33584,33033.12318159511,0
805,31984,33042.939094830195,0
806,30200,33075.06628814008,0
807,28904,33127.2062060697,0
808,27892,33216.23040606414,0
809,28200,33324.44926916402,0
810,30272,33434.09702427785,0
811,32698,33481.68936526027,0
812,34092,33377.61501561073,0
813,35046,33099.385212868554,0
814,34960,32706.434770164105,0
815,34300,32267.271476590973,0
816,32120,31837.681772226133,0
817,27784,31427.821837739728,0
818,24192,31038.063248871018,0
819,22178,30687.177128192816,0
820,21277,30390.500073764437,0
821,25209,30194.301883814,0
822,29672,30071.781534421963,0
823,31668,29967.699911624255,0
824,32872,29911.916659803093,0
825,32468,29948.86296130618,0
826,31918,30082.49495599749,0
827,33000,30255.27305736715,0
828,36132,30386.142220422447,0
829,39340,30483.402150211114,0
830,38556,30543.72273213262,0
831,35780,30557.302890123858,0
832,33404,30580.57331031474,0
833,32260,30642.810883233884,0
834,31888,30737.39412660981,0
835,31264,30862.193703130408,0
836,30958,31026.442807692067,0
837,31648,31177.083382551566,0
838,32206,31274.40966746504,0
839,32056,31296.09553967365,0
840,30074,31284.047105573616,0
841,27288,31326.56024976423,0
842,24708,31396.4530003407,0
843,21520,31360.691506479183,0
844,19578,31234.41530082852,0
845,20468,31114.61294233497,0
846,24952,31036.636869033417,0
847,29345,30971.163862134203,0
848,32140,30933.604617778892,0
849,34736,30946.52609986224,0
850,36252,30951.724942555815,0
851,36896,30972.5750057851,0
852,37824,31005.47253586234,0
853,37284,31046.276350366712,0
854,36904,31130.116617902742,0
855,35596,31269.706121916064,0
856,33585,31415.791491745207,0
857,33220,31502.807558974862,0
858,32893,31511.772535451943,0
859,32254,31417.669152802795,0
860,30216,31318.1752212442,0
861,27332,31282.40174384585,0
862,26185,31328.06316840187,0
863,27152,31421.489215562655,0
864,29146,31583.063825635356,0
865,30168,31804.17443864884,0
866,31040,32091.47587189253,0
867,31733,32372.40015901943,0
868,32100,32576.852701700667,0
869,33700,32684.403687386126,0
870,35240,32662.34758134986,0
871,34800,32484.419274069896,0
872,33692,32279.532851996453,0
873,33284,32163.651708837602,0
874,33212,32126.713109140288,0
875,32558,32138.72845059497,0
876,31932,32159.201371592142,0
877,31294,32173.164123585677,0
878,31588,32182.540242623858,0
879,32372,32235.533308641083,0
880,32540,32383.158102541216,0
881,31928,32567.683875190734,0
882,30776,32743.897675278367,0
883,29724,32916.18478780914,0
884,30920,33110.975107951854,0
885,32660,33327.24648725011,0
886,33344,33527.91812979989,0
887,34220,33717.68310140202,0
888,35304,33995.22717648098,0
889,37344,34382.991458045006,0
890,37116,34821.90788666206,0
891,34980,35204.21949900123,0
892,32952,35467.847772267254,0
893,33568,35588.054818172204,0
894,34232,35548.75019924781,0
895,33484,35357.765050431415,0
896,33588,35069.02106005534,0
897,34733,34800.21047350792,0
898,35888,34599.154774109185,0
899,36216,34437.19261179884,0
900,36144,34307.88723716371,0
901,35940,34165.09304027738,0
902,36084,33947.33967252051,0
903,36960,33693.22589651107,0
904,36680,33445.06795210542,0
905,34108,33258.03753672488,0
906,32032,33122.25922783898,0
907,31865,32983.124982089066,0
908,32836,32803.13466881729,0
909,35656,32583.459540802534,0
910,35488,32359.640184137035,0
911,33670,32119.69731276998,0
912,31585,31837.12383632837,0
913,30748,31523.506938974595,0
914,29408,31202.9045346979,0
915,28000,30879.719054418885,0
916,25820,30560.20988631991,0
917,25296,30261.70807696032,0
918,24924,29981.5447341666,0
919,24420,29742.610660613725,0
920,25624,29571.41356588926,0
921,28846,29484.089019705665,0
922,32308,29443.275811996285,0
923,32932,29453.704976409033,0
924,32168,29505.29733492822,0
925,31824,29559.40370390035,0
926,31169,29584.79051623464,0
